,GRADE,SCPUBPRI,DISTASSI,SCHRTSCHL,SSAMSC,SEGRADES,SEADPLCXX,SEREPEAT,SESUSOUT,SESUSPIN,SEEXPEL,CDOBMM,CDOBYY,CPLCBRTH,CMOVEAGE,CHISPAN,CAMIND,CASIAN,CBLACK,CPACI,CWHITE,CHISPRM,CSEX,CENGLPRG,DISABLTYX,DISBLTY2X,RACEETHN,RACEETH2,ZIP18PO2,ZIPBLHI2,ZIPLOCL,S16NUMST,S16PBPV,S16TYPE,AGE2015,target
2853,14,4,1,2,1,2,1,2,2,2,2,2,1999,1,-1,2,2,1,2,2,2,2,2,2,1,1,4,4,3,4,11,4,1,4,16,False
520,7,1,-1,-1,1,3,-1,2,2,2,2,9,2006,1,-1,1,2,2,2,2,1,2,2,-1,2,2,3,3,3,4,11,4,1,4,9,False
9163,4,4,2,1,1,5,-1,2,2,2,2,1,2009,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,2,4,21,2,1,4,6,False
2436,8,4,1,2,1,5,-1,2,2,2,2,1,2006,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,1,1,21,1,1,4,9,False
2636,6,4,1,2,1,1,-1,2,2,2,2,1,2007,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,1,1,41,2,1,4,8,False
2893,8,4,1,2,1,2,-1,2,2,2,2,5,2005,1,-1,1,2,2,2,2,1,2,2,2,2,2,3,3,1,2,21,2,1,4,10,False
4987,15,3,-1,-1,1,2,2,2,2,2,2,2,1998,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,1,2,41,3,2,3,17,False
3854,9,4,2,2,1,1,-1,2,2,2,2,11,2003,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,3,1,42,1,1,4,12,False
5258,9,4,2,2,1,1,-1,1,2,2,2,12,2002,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,3,2,41,2,1,4,13,False
9753,13,4,1,2,1,1,1,2,2,2,2,6,1999,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,1,1,41,-2,1,4,16,False
8642,13,4,1,2,1,1,2,2,2,2,2,11,2000,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,2,3,21,4,1,4,15,False
3195,2,4,1,2,1,1,-1,2,2,2,2,10,2010,1,-1,1,2,2,2,2,1,2,2,-1,2,2,3,3,1,2,21,2,1,4,5,False
7096,7,4,1,2,1,5,-1,2,1,1,2,1,2006,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,2,1,43,1,1,4,9,False
7374,8,4,1,2,1,1,-1,2,2,1,2,3,2005,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,1,2,11,3,1,4,10,False
2262,14,4,2,1,1,1,1,2,2,2,2,7,1999,1,-1,1,2,2,2,2,1,2,2,1,2,2,3,3,3,4,11,3,1,4,16,False
2714,13,4,2,2,1,1,2,2,2,2,2,8,2000,1,-1,2,1,2,2,2,1,2,2,-1,2,2,4,5,1,1,42,4,1,4,15,False
12066,9,4,1,2,1,1,-1,2,2,2,2,4,2004,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,1,1,23,3,1,4,11,False
12611,4,4,1,2,1,2,-1,2,2,2,2,4,1998,1,-1,2,2,2,1,2,2,2,1,-1,2,2,2,2,2,3,21,4,1,4,17,False
2042,4,4,1,2,1,5,-1,2,2,2,2,6,2009,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,2,3,21,1,1,4,6,False
4353,2,4,1,2,1,1,-1,2,2,2,2,3,2008,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,2,3,11,3,1,4,7,False
9192,11,4,1,2,2,3,-1,1,2,2,2,10,2000,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,4,1,42,2,1,4,15,True
